I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11
0.00000,0.00000,0.00000,0.00000,0.00000,-0.00436,-17.00001,0.00001,442.00000,0.00000,0.00000,-0.00436
0.00000,0.00000,0.00000,0.00000,0.00000,-0.00309,-17.00001,0.00001,442.00000,0.00000,0.00000,-0.00309
0.00000,0.00000,0.00000,0.00000,0.00000,-0.00309,-17.00001,0.00001,442.00000,0.00000,0.00000,-0.00309
0.00000,-0.00042,0.00000,0.00000,0.00000,-0.00309,-17.00247,0.00001,441.99963,0.00000,-0.00042,-0.00309
0.00000,0.00000,0.00000,0.00000,0.00000,-0.00309,-17.00001,0.00001,442.00000,0.00000,0.00000,-0.00309
0.00000,0.00056,0.00000,0.00000,0.00000,-0.00309,-16.99675,0.00001,442.00052,-0.00000,0.00056,-0.00309
0.00000,0.00000,0.00000,0.00000,0.00000,-0.00267,-17.00001,0.00001,442.00000,0.00000,0.00000,-0.00267
0.00000,0.00000,0.00000,0.00000,0.00000,-0.00267,-17.00001,0.00001,442.00000,0.00000,0.00000,-0.00267
0.00000,0.00000,0.00000,0.00000,0.00000,-0.00267,-17.00001,0.00001,442.00000,0.00000,0.00000,-0.00267
0.00000,0.00000,0.00000,0.00000,0.00000,-0.00267,-17.00001,0.00001,442.00000,0.00000,0.00000,-0.00267
0.00000,0.00000,0.00000,0.00000,0.00000,-0.00267,-17.00001,0.00001,442.00000,0.00000,0.00000,-0.00267
0.00000,0.00000,0.00000,0.00000,0.00000,-0.00267,-17.00001,0.00001,442.00000,0.00000,0.00000,-0.00267
0.00000,0.00000,0.00000,0.00000,0.00000,-0.00267,-17.00001,0.00001,442.00000,0.00000,0.00000,-0.00267
0.00000,0.00000,0.00000,0.00000,0.00000,-0.00267,-17.00001,0.00001,442.00000,0.00000,0.00000,-0.00267
0.00000,0.00000,0.00000,0.00000,0.00000,-0.00267,-17.00001,0.00001,442.00000,0.00000,0.00000,-0.00267
0.00000,0.00000,0.00000,0.00000,0.00000,-0.00267,-17.00001,0.00001,442.00000,0.00000,0.00000,-0.00267
0.00000,0.00000,0.00000,0.00000,0.00000,-0.00267,-17.00001,0.00001,442.00000,0.00000,0.00000,-0.00267
0.00000,0.00056,0.00000,0.00000,0.00000,-0.00267,-16.99675,0.00001,442.00052,-0.00000,0.00056,-0.00267
0.00000,0.00056,0.00000,0.00000,0.00000,-0.00267,-16.99675,0.00001,442.00052,-0.00000,0.00056,-0.00267
0.00000,0.00000,0.00000,0.00000,0.00000,-0.00267,-17.00001,0.00001,442.00000,0.00000,0.00000,-0.00267
0.00000,0.00000,0.00000,0.00000,0.00000,-0.00267,-17.00001,0.00001,442.00000,0.00000,0.00000,-0.00267
0.00000,0.00000,0.00000,0.00000,0.00000,-0.00267,-17.00001,0.00001,442.00000,0.00000,0.00000,-0.00267
0.00000,0.00000,0.00000,0.00000,0.00000,-0.00211,-17.00001,0.00001,442.00000,0.00000,0.00000,-0.00211
0.00000,0.00000,0.00000,0.00000,0.00000,-0.00267,-17.00001,0.00001,442.00000,0.00000,0.00000,-0.00267
0.00000,0.00000,0.00000,0.00000,0.00000,-0.00211,-17.00001,0.00001,442.00000,0.00000,0.00000,-0.00211
0.00000,0.00056,0.00000,0.00000,0.00000,-0.00267,-16.99675,0.00001,442.00052,-0.00000,0.00056,-0.00267
0.00000,0.00000,0.00000,0.00000,0.00042,-0.00267,-16.99948,0.00001,442.00000,-0.00000,0.00042,-0.00267
0.00000,0.00000,0.00000,0.00000,0.00000,-0.00211,-17.00001,0.00001,442.00000,0.00000,0.00000,-0.00211
0.00000,0.00000,0.00000,0.00000,0.00000,-0.00211,-17.00001,0.00001,442.00000,0.00000,0.00000,-0.00211
0.00000,0.00000,0.00000,0.00000,0.00000,-0.00211,-17.00001,0.00001,442.00000,0.00000,0.00000,-0.00211
